topology,graph_id,num_nodes,num_edges,source,target,graph_image,algorithm,path_cost,path_hops,nodes_visited,edges_relaxed,execution_time_ms,success
line,38,299,298,93,261,graph_images\line\line_graph_38.png,Bidirectional Dijkstra,4376,168,291,581,0.46040001325309277,True
line,38,299,298,93,261,graph_images\line\line_graph_38.png,Floyd-Warshall,4376,168,299,13499252,1661.0816998872906,True
line,39,155,154,56,94,graph_images\line\line_graph_39.png,Dijkstra,977,38,71,140,0.17639994621276855,True
line,39,155,154,56,94,graph_images\line\line_graph_39.png,Bellman-Ford,977,38,154,17556,2.8224000707268715,True
line,39,155,154,56,94,graph_images\line\line_graph_39.png,A*,977,38,71,140,0.1460001803934574,True
line,39,155,154,56,94,graph_images\line\line_graph_39.png,BFS (unweighted),977,38,78,152,0.06120000034570694,True
line,39,155,154,56,94,graph_images\line\line_graph_39.png,Bidirectional Dijkstra,977,38,69,138,0.14369981363415718,True
line,39,155,154,56,94,graph_images\line\line_graph_39.png,Floyd-Warshall,977,38,155,1897820,226.90950008109212,True
line,40,60,59,22,52,graph_images\line\line_graph_40.png,Dijkstra,772,30,53,103,0.11159991845488548,True
line,40,60,59,22,52,graph_images\line\line_graph_40.png,Bellman-Ford,772,30,59,2714,0.5697000306099653,True
